method1,method2,ACC,ARI,F1,kappa,F1_weighted,ACC_weighted
ACDC_sce_scaled_original,ACDC_sce_scaled_original,1,1,1,1,1,1
CyCadas_sce_scaled_original,ACDC_sce_scaled_original,0.557064998802116,0.249291336158125,0.154114413539351,0.13169413030873,0.25854362741759,0.569800594901511
CyCadas_sce_unscaled_original,ACDC_sce_scaled_original,0.557064998802116,0.249291336158125,0.154114413539351,0.13169413030873,0.25854362741759,0.569800594901511
ImmmCellTyper_sce_scaled_original,ACDC_sce_scaled_original,0.58650986682871,0.183308279691555,0.11227175634483,0.0588458779059145,0.236673305160883,0.531882026623186
ImmmCellTyper_sce_unscaled_original,ACDC_sce_scaled_original,0.596207033584153,0.224285319290617,0.136702649776014,0.0890833497134995,0.328636290699182,0.559587606330801
KS_sce_scaled_original,ACDC_sce_scaled_original,0.586639162451382,0.238941217105669,0.205722852424341,0.105448480502198,0.279112469653254,0.620475342376284
KS_sce_unscaled_original,ACDC_sce_scaled_original,0.586363398147076,0.23790709727772,0.214628033379471,0.112472751200637,0.293582817043361,0.625557790028727
Manual_sce_scaled_original,ACDC_sce_scaled_original,0.627411559161548,0.30977884818517,0.322608122963516,0.143176003939146,0.379984427058671,0.658305891371543
Manual_sce_unscaled_original,ACDC_sce_scaled_original,0.627411559161548,0.30977884818517,0.322608122963516,0.143176003939146,0.379984427058671,0.658305891371543
SCINA_sce_scaled_original,ACDC_sce_scaled_original,0.674897621145775,0.202688445135073,0.381620157285898,0.0747987529706448,0.51892297532078,0.725644505374213
SCINA_sce_unscaled_original,ACDC_sce_scaled_original,0.641266591236473,0.136718703429328,0.236363037600728,0.0192152820964947,0.284956768834173,0.602236773753555
ACDC_sce_scaled_original,CyCadas_sce_scaled_original,0.605329920272801,0.249291336158125,0.154114413539351,0.13169413030873,0.276519861334147,0.568378918829609
CyCadas_sce_scaled_original,CyCadas_sce_scaled_original,1,1,1,1,1,1
CyCadas_sce_unscaled_original,CyCadas_sce_scaled_original,1,1,1,1,1,1
ImmmCellTyper_sce_scaled_original,CyCadas_sce_scaled_original,0.645527762328303,0.412068330245051,0.142854995724945,0.054664650725063,0.160465402654241,0.529705819642661
ImmmCellTyper_sce_unscaled_original,CyCadas_sce_scaled_original,0.66098282810381,0.464874193237158,0.190496327812001,0.0606089003814581,0.176856404016966,0.530642949244678
KS_sce_scaled_original,CyCadas_sce_scaled_original,0.711886307242653,0.563497027347047,0.325681096302557,0.386753991626372,0.572640281219425,0.768134277825592
KS_sce_unscaled_original,CyCadas_sce_scaled_original,0.70071864718525,0.56730694868219,0.385897696535135,0.392351634760453,0.58136750090321,0.770126640531712
Manual_sce_scaled_original,CyCadas_sce_scaled_original,0.741801353756888,0.684173259636278,0.438217433318597,0.453931096242368,0.648291555458499,0.80757415145957
Manual_sce_unscaled_original,CyCadas_sce_scaled_original,0.741801353756888,0.684173259636278,0.438217433318597,0.453931096242368,0.648291555458499,0.80757415145957
SCINA_sce_scaled_original,CyCadas_sce_scaled_original,0.782173366513774,0.542067731254194,0.591151762618766,0.460645738623729,0.888085903956024,0.922887441426297
SCINA_sce_unscaled_original,CyCadas_sce_scaled_original,0.829336207980943,0.392551922550831,0.495467022740172,0.317097226902276,0.697673157016479,0.822657570058597
ACDC_sce_scaled_original,CyCadas_sce_unscaled_original,0.605329920272801,0.249291336158125,0.154114413539351,0.13169413030873,0.276519861334147,0.568378918829609
CyCadas_sce_scaled_original,CyCadas_sce_unscaled_original,1,1,1,1,1,1
CyCadas_sce_unscaled_original,CyCadas_sce_unscaled_original,1,1,1,1,1,1
ImmmCellTyper_sce_scaled_original,CyCadas_sce_unscaled_original,0.645527762328303,0.412068330245051,0.142854995724945,0.054664650725063,0.160465402654241,0.529705819642661
ImmmCellTyper_sce_unscaled_original,CyCadas_sce_unscaled_original,0.66098282810381,0.464874193237158,0.190496327812001,0.0606089003814581,0.176856404016966,0.530642949244678
KS_sce_scaled_original,CyCadas_sce_unscaled_original,0.711886307242653,0.563497027347047,0.325681096302557,0.386753991626372,0.572640281219425,0.768134277825592
KS_sce_unscaled_original,CyCadas_sce_unscaled_original,0.70071864718525,0.56730694868219,0.385897696535135,0.392351634760453,0.58136750090321,0.770126640531712
Manual_sce_scaled_original,CyCadas_sce_unscaled_original,0.741801353756888,0.684173259636278,0.438217433318597,0.453931096242368,0.648291555458499,0.80757415145957
Manual_sce_unscaled_original,CyCadas_sce_unscaled_original,0.741801353756888,0.684173259636278,0.438217433318597,0.453931096242368,0.648291555458499,0.80757415145957
SCINA_sce_scaled_original,CyCadas_sce_unscaled_original,0.782173366513774,0.542067731254194,0.591151762618766,0.460645738623729,0.888085903956024,0.922887441426297
SCINA_sce_unscaled_original,CyCadas_sce_unscaled_original,0.829336207980943,0.392551922550831,0.495467022740172,0.317097226902276,0.697673157016479,0.822657570058597
ACDC_sce_scaled_original,ImmmCellTyper_sce_scaled_original,0.550546829845439,0.183308279691555,0.11227175634483,0.0588458779059145,0.29145270004045,0.536501069953184
CyCadas_sce_scaled_original,ImmmCellTyper_sce_scaled_original,0.584157000743443,0.412068330245051,0.142854995724945,0.054664650725063,0.108321080883621,0.535238796056675
CyCadas_sce_unscaled_original,ImmmCellTyper_sce_scaled_original,0.584157000743443,0.412068330245051,0.142854995724945,0.054664650725063,0.108321080883621,0.535238796056675
ImmmCellTyper_sce_scaled_original,ImmmCellTyper_sce_scaled_original,1,1,1,1,1,1
ImmmCellTyper_sce_unscaled_original,ImmmCellTyper_sce_scaled_original,0.868119952149586,0.765409004894786,0.67150896782139,0.80443341586707,0.866983857097537,0.917893348249565
KS_sce_scaled_original,ImmmCellTyper_sce_scaled_original,0.625829129153753,0.466628328211768,0.293880084403602,0.222588386629324,0.280204013010666,0.618729144495302
KS_sce_unscaled_original,ImmmCellTyper_sce_scaled_original,0.674801715633898,0.481352793093199,0.314106401674349,0.258563709936703,0.298068760576902,0.636389163734654
Manual_sce_scaled_original,ImmmCellTyper_sce_scaled_original,0.682286095653057,0.538905124513759,0.261916630260245,0.206623045155256,0.226329693866297,0.610112283883692
Manual_sce_unscaled_original,ImmmCellTyper_sce_scaled_original,0.682286095653057,0.538905124513759,0.261916630260245,0.206623045155256,0.226329693866297,0.610112283883692
SCINA_sce_scaled_original,ImmmCellTyper_sce_scaled_original,,0.447727107242259,0.761855132252352,0.0547232024264984,0.513694837014986,0.720212540944182
SCINA_sce_unscaled_original,ImmmCellTyper_sce_scaled_original,0.909643676306544,0.439418977283545,0.682795961524339,0.0605865020440433,0.89238418817466,0.891581051412681
ACDC_sce_scaled_original,ImmmCellTyper_sce_unscaled_original,0.54763241098054,0.224285319290617,0.136702649776014,0.0890833497134995,0.379406371850513,0.567244944153582
CyCadas_sce_scaled_original,ImmmCellTyper_sce_unscaled_original,0.588743807386175,0.464874193237158,0.190496327812001,0.0606089003814581,0.118243582720421,0.537929511753111
CyCadas_sce_unscaled_original,ImmmCellTyper_sce_unscaled_original,0.588743807386175,0.464874193237158,0.190496327812001,0.0606089003814581,0.118243582720421,0.537929511753111
ImmmCellTyper_sce_scaled_original,ImmmCellTyper_sce_unscaled_original,0.827579523595287,0.765409004894786,0.67150896782139,0.80443341586707,0.842154326711694,0.904067860189221
ImmmCellTyper_sce_unscaled_original,ImmmCellTyper_sce_unscaled_original,1,1,1,1,1,1
KS_sce_scaled_original,ImmmCellTyper_sce_unscaled_original,0.617551248472281,0.500441006188801,0.282369377699044,0.210448791113989,0.257504824426095,0.612009275237372
KS_sce_unscaled_original,ImmmCellTyper_sce_unscaled_original,0.677175558454784,0.517197322534829,0.322320879666571,0.253149996712033,0.286219237973857,0.632788191557133
Manual_sce_scaled_original,ImmmCellTyper_sce_unscaled_original,0.693954615617657,0.581963694287422,0.325786311298946,0.236609300757213,0.256534641247364,0.625111284311804
Manual_sce_unscaled_original,ImmmCellTyper_sce_unscaled_original,0.693954615617657,0.581963694287422,0.325786311298946,0.236609300757213,0.256534641247364,0.625111284311804
SCINA_sce_scaled_original,ImmmCellTyper_sce_unscaled_original,,0.460881833019641,0.74750963069187,0.0543078009333991,0.589293721260471,0.761186535027516
SCINA_sce_unscaled_original,ImmmCellTyper_sce_unscaled_original,0.812265340970293,0.521026331195574,0.567289682942355,0.0419615995269392,0.763830726194962,0.806097985145079
ACDC_sce_scaled_original,KS_sce_scaled_original,0.565800535501944,0.238941217105669,0.205722852424341,0.105448480502198,0.32405824112658,0.625138854037246
CyCadas_sce_scaled_original,KS_sce_scaled_original,0.66885871066923,0.563497027347047,0.325681096302557,0.386753991626372,0.630959853450584,0.788153584493104
CyCadas_sce_unscaled_original,KS_sce_scaled_original,0.66885871066923,0.563497027347047,0.325681096302557,0.386753991626372,0.630959853450584,0.788153584493104
ImmmCellTyper_sce_scaled_original,KS_sce_scaled_original,0.711356235566537,0.466628328211768,0.293880084403602,0.222588386629324,0.258226799536054,0.61926124197385
ImmmCellTyper_sce_unscaled_original,KS_sce_scaled_original,0.730022583502214,0.500441006188801,0.282369377699044,0.210448791113989,0.242099884410235,0.616200505571855
KS_sce_scaled_original,KS_sce_scaled_original,1,1,1,1,1,1
KS_sce_unscaled_original,KS_sce_scaled_original,0.897019220707604,0.887909290296982,0.784205930409879,0.890423767870647,0.906345568279878,0.950631462945136
Manual_sce_scaled_original,KS_sce_scaled_original,0.755574548035407,0.817841636349676,0.444116136233725,0.547759954731381,0.632032904551344,0.799259698827386
Manual_sce_unscaled_original,KS_sce_scaled_original,0.755574548035407,0.817841636349676,0.444116136233725,0.547759954731381,0.632032904551344,0.799259698827386
SCINA_sce_scaled_original,KS_sce_scaled_original,0.786006899032564,0.610077656237732,0.632053772322909,0.566659175842018,0.844669541019201,0.900558527230391
SCINA_sce_unscaled_original,KS_sce_scaled_original,0.893680428543014,0.478595790286276,0.659175823353162,0.407210207593441,0.84848304893035,0.879789239304136
ACDC_sce_scaled_original,KS_sce_unscaled_original,0.572317568653584,0.23790709727772,0.214628033379471,0.112472751200637,0.34447696391482,0.631609229063419
CyCadas_sce_scaled_original,KS_sce_unscaled_original,0.683090645907867,0.56730694868219,0.385897696535135,0.392351634760453,0.640336815619253,0.788882883065577
CyCadas_sce_unscaled_original,KS_sce_unscaled_original,0.683090645907867,0.56730694868219,0.385897696535135,0.392351634760453,0.640336815619253,0.788882883065577
ImmmCellTyper_sce_scaled_original,KS_sce_unscaled_original,0.698601916490556,0.481352793093199,0.314106401674349,0.258563709936703,0.322427318625776,0.640464113464465
ImmmCellTyper_sce_unscaled_original,KS_sce_unscaled_original,0.739758584618635,0.517197322534829,0.322320879666571,0.253149996712033,0.31706967798282,0.642143574390427
KS_sce_scaled_original,KS_sce_unscaled_original,0.93975553716312,0.887909290296982,0.784205930409879,0.890423767870647,0.915498841997269,0.949763971715987
KS_sce_unscaled_original,KS_sce_unscaled_original,1,1,1,1,1,1
Manual_sce_scaled_original,KS_sce_unscaled_original,0.776392180835646,0.820623163316303,0.503838475163876,0.574206415727183,0.653219367380694,0.809508665896827
Manual_sce_unscaled_original,KS_sce_unscaled_original,0.776392180835646,0.820623163316303,0.503838475163876,0.574206415727183,0.653219367380694,0.809508665896827
SCINA_sce_scaled_original,KS_sce_unscaled_original,0.786601719315058,0.613198470568909,0.631999120182578,0.566673762953671,0.841993325560941,0.897987488494443
SCINA_sce_unscaled_original,KS_sce_unscaled_original,0.88617058336814,0.472097476104097,0.652676420680607,0.406975184670406,0.84350773460659,0.874009323048924
ACDC_sce_scaled_original,Manual_sce_scaled_original,0.684993064629072,0.30977884818517,0.322608122963516,0.143176003939146,0.40019002828986,0.662032316656533
CyCadas_sce_scaled_original,Manual_sce_scaled_original,0.735301062616002,0.684173259636278,0.438217433318597,0.453931096242368,0.690032136076093,0.822101854076319
CyCadas_sce_unscaled_original,Manual_sce_scaled_original,0.735301062616002,0.684173259636278,0.438217433318597,0.453931096242368,0.690032136076093,0.822101854076319
ImmmCellTyper_sce_scaled_original,Manual_sce_scaled_original,0.698101571855428,0.538905124513759,0.261916630260245,0.206623045155256,0.28416806109264,0.615214653437973
ImmmCellTyper_sce_unscaled_original,Manual_sce_scaled_original,0.733450065945569,0.581963694287422,0.325786311298946,0.236609300757213,0.309449275050706,0.633970095922373
KS_sce_scaled_original,Manual_sce_scaled_original,0.720222570327091,0.817841636349676,0.444116136233725,0.547759954731381,0.628951732098668,0.794588165339805
KS_sce_unscaled_original,Manual_sce_scaled_original,0.72965954311823,0.820623163316303,0.503838475163876,0.574206415727183,0.652503317724887,0.806038113691567
Manual_sce_scaled_original,Manual_sce_scaled_original,1,1,1,1,1,1
Manual_sce_unscaled_original,Manual_sce_scaled_original,1,1,1,1,1,1
SCINA_sce_scaled_original,Manual_sce_scaled_original,0.833107397275415,0.706711286440185,0.570930326385591,0.501684856303133,0.749748892122231,0.865590417725216
SCINA_sce_unscaled_original,Manual_sce_scaled_original,0.827277131437029,0.512016655419194,0.429304183319223,0.296162041233626,0.661352427786741,0.820406132639677
ACDC_sce_scaled_original,Manual_sce_unscaled_original,0.684993064629072,0.30977884818517,0.322608122963516,0.143176003939146,0.40019002828986,0.662032316656533
CyCadas_sce_scaled_original,Manual_sce_unscaled_original,0.735301062616002,0.684173259636278,0.438217433318597,0.453931096242368,0.690032136076093,0.822101854076319
CyCadas_sce_unscaled_original,Manual_sce_unscaled_original,0.735301062616002,0.684173259636278,0.438217433318597,0.453931096242368,0.690032136076093,0.822101854076319
ImmmCellTyper_sce_scaled_original,Manual_sce_unscaled_original,0.698101571855428,0.538905124513759,0.261916630260245,0.206623045155256,0.28416806109264,0.615214653437973
ImmmCellTyper_sce_unscaled_original,Manual_sce_unscaled_original,0.733450065945569,0.581963694287422,0.325786311298946,0.236609300757213,0.309449275050706,0.633970095922373
KS_sce_scaled_original,Manual_sce_unscaled_original,0.720222570327091,0.817841636349676,0.444116136233725,0.547759954731381,0.628951732098668,0.794588165339805
KS_sce_unscaled_original,Manual_sce_unscaled_original,0.72965954311823,0.820623163316303,0.503838475163876,0.574206415727183,0.652503317724887,0.806038113691567
Manual_sce_scaled_original,Manual_sce_unscaled_original,1,1,1,1,1,1
Manual_sce_unscaled_original,Manual_sce_unscaled_original,1,1,1,1,1,1
SCINA_sce_scaled_original,Manual_sce_unscaled_original,0.833107397275415,0.706711286440185,0.570930326385591,0.501684856303133,0.749748892122231,0.865590417725216
SCINA_sce_unscaled_original,Manual_sce_unscaled_original,0.827277131437029,0.512016655419194,0.429304183319223,0.296162041233626,0.661352427786741,0.820406132639677
ACDC_sce_scaled_original,SCINA_sce_scaled_original,0.64754588975211,0.202688445135073,0.381620157285898,0.0747987529706448,0.514467694919681,0.721702116738092
CyCadas_sce_scaled_original,SCINA_sce_scaled_original,0.811289147680875,0.542067731254194,0.591151762618766,0.460645738623729,0.933692761203164,0.94795271279654
CyCadas_sce_unscaled_original,SCINA_sce_scaled_original,0.811289147680875,0.542067731254194,0.591151762618766,0.460645738623729,0.933692761203164,0.94795271279654
ImmmCellTyper_sce_scaled_original,SCINA_sce_scaled_original,0.795900923355175,0.447727107242259,0.761855132252352,0.0547232024264984,0.70702214622964,0.700334957976143
ImmmCellTyper_sce_unscaled_original,SCINA_sce_scaled_original,0.787969674550015,0.460881833019641,0.74750963069187,0.0543078009333991,0.726107628894983,0.733839562684655
KS_sce_scaled_original,SCINA_sce_scaled_original,0.850300065257192,0.610077656237732,0.632053772322909,0.566659175842018,0.79173348197473,0.89445716960539
KS_sce_unscaled_original,SCINA_sce_scaled_original,0.851262736060732,0.613198470568909,0.631999120182578,0.566673762953671,0.795043527206787,0.894376449859587
Manual_sce_scaled_original,SCINA_sce_scaled_original,0.81108273204086,0.706711286440185,0.570930326385591,0.501684856303133,0.739379572910803,0.863302438699296
Manual_sce_unscaled_original,SCINA_sce_scaled_original,0.81108273204086,0.706711286440185,0.570930326385591,0.501684856303133,0.739379572910803,0.863302438699296
SCINA_sce_scaled_original,SCINA_sce_scaled_original,1,1,1,1,1,1
SCINA_sce_unscaled_original,SCINA_sce_scaled_original,0.894498182425733,0.636717225391779,0.625000623042295,0.673332174270147,0.822829835670373,0.877102061224735
ACDC_sce_scaled_original,SCINA_sce_unscaled_original,0.559608528565816,0.136718703429328,0.236363037600728,0.0192152820964947,0.263574768361458,0.606220898600791
CyCadas_sce_scaled_original,SCINA_sce_unscaled_original,0.804198887935272,0.392551922550831,0.495467022740172,0.317097226902276,0.72002328568785,0.838963949468174
CyCadas_sce_unscaled_original,SCINA_sce_unscaled_original,0.804198887935272,0.392551922550831,0.495467022740172,0.317097226902276,0.72002328568785,0.838963949468174
ImmmCellTyper_sce_scaled_original,SCINA_sce_unscaled_original,0.835586116673412,0.439418977283545,0.682795961524339,0.0605865020440433,0.831876989791002,0.88889365047899
ImmmCellTyper_sce_unscaled_original,SCINA_sce_unscaled_original,0.804304958758891,0.521026331195574,0.567289682942355,0.0419615995269392,0.559596544392972,0.755856912227516
KS_sce_scaled_original,SCINA_sce_unscaled_original,0.83021095738739,0.478595790286276,0.659175823353162,0.407210207593441,0.680234116621809,0.834735384065079
KS_sce_unscaled_original,SCINA_sce_unscaled_original,0.828308703683127,0.472097476104097,0.652676420680607,0.406975184670406,0.679925635590974,0.831644470632419
Manual_sce_scaled_original,SCINA_sce_unscaled_original,0.748804775761081,0.512016655419194,0.429304183319223,0.296162041233626,0.643125421745723,0.8017402529625
Manual_sce_unscaled_original,SCINA_sce_unscaled_original,0.748804775761081,0.512016655419194,0.429304183319223,0.296162041233626,0.643125421745723,0.8017402529625
SCINA_sce_scaled_original,SCINA_sce_unscaled_original,0.803224448247441,0.636717225391779,0.625000623042295,0.673332174270147,0.729096585935187,0.853019981938532
SCINA_sce_unscaled_original,SCINA_sce_unscaled_original,1,1,1,1,1,1
